"","YEAR","COMPANY","PRICE","Sell","VOLUME","MARKET CAP","EARNINGS","COGS","SALES","CASH","INVESTMENTS","RECEIVABLE","INVENTORY","DEBTS","Name","Sector","CPALTT01USM657N_PC1","GDP","GDP_PC1","T10Y2Y","M1SL_PC1","M1SL","Earnings_next_year","PROFIT"
"27",2018,"ACN",147.979996,166.989997,628451742,92998286267.353,3445149000,25734986000,36765478000,4126860000,3011000,6885257000,0,2907000,"Accenture","Information Technology","-9.3","20527.159","5.4",0.4,"4.4","3680.4",4059907000,12.8463316082263
"28",2017,"ACN",117.639999,158.689994,620104250,72949063349.8958,4111892000,24520234000,34797661000,4905609000,2875000,6222399000,0,2773000,"Accenture","Information Technology","1.7","19479.623","4.2",0.9,"8.5","3523.9",3445149000,34.8945897219873
"29",2016,"ACN",116.349998,126.38,624797820,72695225107.4044,3053581000,23105185000,32914424000,4360766000,2448000,5725424000,0,1848000,"Accenture","Information Technology","180.4","18695.106","2.7",1,"7.5","3248.5",4111892000,8.62054333683787
"30",2015,"ACN",93.559998,105.569997,626799586,58643368012.5608,2941498000,22190212000,31874678000,4921305000,2602000,5663334000,0,330000,"Accenture","Information Technology","-3.7","18206.024","3.7",1.5,"7.3","3021.8",3053581000,12.8366815484541
"31",2014,"ACN",79.540001,93.13,634216250,50445561159.2163,3281878000,21010110000,30394285000,5631885000,2525000,4846574000,0,0,"Accenture","Information Technology","-49.1","17550.688","4.2",2.1,"10.4","2815.1",2941498000,17.0857415503427
"32",2013,"ACN",75.849998,84.24,645536995,48963979779.676,2553510000,20790284000,29777985000,6640526000,2261000,4480711000,0,11000,"Accenture","Information Technology","-13.8","16843.196","3.6",2,"10.1","2549.6",3281878000,11.0613081360925
"33",2012,"ACN",65.49,76.305,643132601,42118752753,2277677000,18966195000,27352914000,5701078000,4929000,4621792000,0,4419000,"Accenture","Information Technology","-40.8","16253.970","4.2",1.5,"15.2","2315.3",2553510000,16.5139715987174
"34",2011,"ACN",54.87,60.805,645631170,35425781652,1780656000,15843331000,23094078000,4838292000,2987000,3662425000,0,143000,"Accenture","Information Technology","97.1","15599.732","3.7",2.3,"15.4","2010.2",2277677000,10.816475305267
"35",2010,"ACN",41.84,51.985,637170234,26659202591,1589963000,16329854000,23170968000,4541662000,7904000,3361785000,0,594000,"Accenture","Information Technology","-44.8","15048.970","3.9",2.5,"6.4","1742.6",1780656000,24.2471319311663
"36",2009,"ACN",27.65,40.84,623007198,17226149025,1691751000,18128241000,25313826000,3602760000,20282000,4515395000,0,6570000,"Accenture","Information Technology","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",1589963000,47.7034358047016
"37",2008,"ACN",35.87,28.34,610949205,21914747372,1243148000,15411274000,21452747000,3314396000,231278000,3699334000,0,23795000,"Accenture","Information Technology","-96.5","14769.862","2.0",1.7,"4.5","1434.7",1691751000,-20.9924728185113
"38",2007,"ACN",38.8,35.3,604128805,23440197030,973329000,13234327000,18228366000,3066988000,352951000,3266661000,0,24792000,"Accenture","Information Technology","59.1","14474.227","4.8",0.3,"-0.2","1373.1",1243148000,-9.02061855670103
"39",2006,"ACN",29.91,35.56,589099824,17619975736,940474000,12002221000,17094420000,2483990000,463460000,3106613000,0,31072000,"Accenture","Information Technology","-25.4","13815.583","6.0",0,"0.2","1375.2",973329000,18.8900033433634
"40",2005,"ACN",24.44,32.93,588505335,14383070976,690828000,10497265000,15113582000,2552958000,285288000,2677081000,0,31715000,"Accenture","Information Technology","5.2","13039.197","6.7",0.4,"2.1","1372.2",940474000,34.7381342062193
"41",2004,"ACN",24.83,25.59,553298104,13738391922,498238000,9087300000,13397240000,2332161000,0,2245407000,0,46162000,"Accenture","Information Technology","71.8","12217.196","6.6",1.9,"5.5","1344.6",690828000,3.06081353201773
"42",2003,"ACN",14.98,23.08,468592110,7019509808,244895000,8427730000,13105024000,1316976000,0,2144344000,0,63099000,"Accenture","Information Technology","-20.6","11456.450","4.8",2.4,"6.5","1274.1",498238000,54.0720961281709
"43",2002,"ACN",26.65,15.71,425941809,11351349210,1057403000,7817365000,13061872000,1880083000,0,2300114000,0,190669000,"Accenture","Information Technology","52.1","10929.108","3.3",2,"4.9","1196.7",244895000,-41.0506566604127
"44",2021,"ADBE",483.339996,0,4.78e+08,231036518088,5.26e+09,1.722e+09,1.2868e+10,4.478e+09,1.514e+09,1.398e+09,0,0,"Adobe","Information Technology","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"45",2020,"ADBE",301.209991,469.570007,4.81e+08,144882005671,2951458000,1672720000,11171297000,2650221000,1526755000,1534809000,0,3149343000,"Adobe","Information Technology","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",5.26e+09,55.8945655956014
"46",2019,"ADBE",272.170013,360.279999,486291000,132353827791.783,2590774000,1194999000,9030008000,1642775000,1586187000,1315578000,0,0,"Adobe","Information Technology","19.3","21372.582","4.1",0.2,"4.5","3844.3",2951458000,32.3731424446087
"47",2018,"ADBE",212.279999,264.01001,490564000,104136925429.436,1693954000,1010491000,7301505000,2306072000,3513702000,1217968000,0,0,"Adobe","Information Technology","-9.3","20527.159","5.4",0.4,"4.4","3680.4",2590774000,24.3687635404596
"48",2017,"ADBE",129.589996,206.029999,493632000,63969768905.472,1168782000,819908000,5854430000,1011315000,3749985000,833033000,0,0,"Adobe","Information Technology","1.7","19479.623","4.2",0.9,"8.5","3523.9",1693954000,58.9860370085975
"49",2016,"ADBE",95.160004,120.349998,498345000,47422512193.38,629551000,744317000,4795511000,876560000,3111524000,672006000,0,0,"Adobe","Information Technology","180.4","18695.106","2.7",1,"7.5","3248.5",1168782000,26.4711989713662
"50",2015,"ADBE",75.07,88.370003,498764000,37442213480,268395000,622080000,4147065000,1117400000,2622091000,591800000,0,603229000,"Adobe","Information Technology","-3.7","18206.024","3.7",1.5,"7.3","3021.8",629551000,17.7168016517917
"51",2014,"ADBE",65.93,79.790001,497867000,32824371310,289985000,586557000,4055240000,834556000,2339196000,599820000,0,0,"Adobe","Information Technology","-49.1","17550.688","4.2",2.1,"10.4","2815.1",268395000,21.0222978917033
"52",2013,"ADBE",43.380001,67.860001,501372000,21749517861.372,832775000,483782000,4403677000,1425052000,2113301000,617233000,0,0,"Adobe","Information Technology","-13.8","16843.196","3.6",2,"10.1","2549.6",289985000,56.4315339688443
"53",2012,"ADBE",34.7,39.83,494731000,17167166195,832847000,437873000,4216258000,989500000,1922192000,634373000,0,0,"Adobe","Information Technology","-40.8","16253.970","4.2",1.5,"15.2","2315.3",832775000,14.7838616714697
"54",2011,"ADBE",34.16,33.1,497469000,16993541040,774680000,403502000,3.8e+09,749891000,1718124000,554328000,0,0,"Adobe","Information Technology","97.1","15599.732","3.7",2.3,"15.4","2010.2",832847000,-3.10304449648711
"55",2010,"ADBE",35.74,33.97,519045000,18550669338,386508000,296732000,2945853000,999487000,904986000,410879000,0,0,"Adobe","Information Technology","-44.8","15048.970","3.9",2.5,"6.4","1742.6",774680000,-4.95243424734192
"56",2009,"ADBE",21.96,34.89,524470000,11517360676,871814000,362630000,3579889000,886450000,1132752000,467234000,0,0,"Adobe","Information Technology","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",386508000,58.879781420765
"57",2008,"ADBE",37.25,16.04,539373000,20091644250,723807000,354694000,3157881000,946422000,1047432000,362811000,0,0,"Adobe","Information Technology","-96.5","14769.862","2.0",1.7,"4.5","1434.7",871814000,-56.9395973154362
"58",2007,"ADBE",41.65,32.86,584203000,24332056118,505809000,292457000,2575300000,772500000,1508379000,408666000,0,0,"Adobe","Information Technology","59.1","14474.227","4.8",0.3,"-0.2","1373.1",723807000,-21.1044417767107
"59",2006,"ADBE",35.7,39.26,593750000,21196875594,602839000,112578000,1966321000,420818000,1280016000,204749000,0,0,"Adobe","Information Technology","-25.4","13815.583","6.0",0,"0.2","1375.2",505809000,9.97198879551819
"60",2005,"ADBE",33.38,39.04,489921000,16353563470,450398000,104378000,1666581000,376127000,937094000,167440000,0,0,"Adobe","Information Technology","5.2","13039.197","6.7",0.4,"2.1","1372.2",602839000,16.956261234272
